Godina,Izvođač,Naziv_pesme,Žanr,Akustičnost,Plesozovnost,Instrumentalnost,Glasnoća,Valentnost,Energičnost,Muzička_dekada
1950,mukesh,mohabbat bhi jhoothi,pop,0.997991966,0.357738547,0.901821862,0.454118914,0.33944765,0.137110188,1950s
1950,frankie laine,i believe,pop,0.954819232,0.331744828,1.53e-06,0.647539933,0.32502061,0.263240253,1950s
1950,johnnie ray,cry,pop,0.840361286,0.456298061,0.0,0.585288311,0.351813685,0.139112253,1950s
1950,pérez prado,patricia,pop,0.083934823,0.68699231,0.199392713,0.744404277,0.775350371,0.74373574,1950s
1950,giorgos papadopoulos,apopse eida oneiro,pop,0.97590359,0.291671179,0.000245951,0.646488732,0.597073372,0.39437548,1950s
1950,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),pop,0.898594276,0.689158453,0.0,0.685588288,0.768136851,0.549535481,1950s
1950,freestyle,opm medley: when i met you,pop,0.435742405,0.368569262,0.0,0.633694844,0.282769992,0.486470448,1950s
1950,johnny mathis,it's not for me to say,pop,0.925702737,0.379399978,7.2e-05,0.529420814,0.373454246,0.192166963,1950s
1950,stélios kazantzídis,klapse me mana klapse me,pop,0.974899573,0.49637171,1.44e-05,0.666179525,0.621805441,0.400381674,1950s
1950,stélios kazantzídis,finito la mouzika,pop,0.983935727,0.662081664,0.000175101,0.643130016,0.744435284,0.413395093,1950s
1951,liva weel,"drømmer man om den, vågner..",pop,0.972891539,0.62525723,0.017004049,0.533112837,0.691879637,0.340319738,1950s
1951,the chordettes,carolina moon,pop,0.988955812,0.265677461,0.0,0.622259826,0.058738664,0.111083349,1950s
1951,frankie laine,necessary evil,pop,0.85240949,0.522365428,0.0,0.528728559,0.408491344,0.153126704,1950s
1951,ghantasala,kanugona galano,pop,0.921686668,0.46929492,0.581983806,0.74566059,0.611500412,0.602590191,1950s
1951,les paul,the carioca,pop,0.49598343,0.55052529,0.504048583,0.682409045,0.849546579,0.642631482,1950s
1951,les paul,chicken reel,pop,0.483935225,0.636087945,0.791497976,0.640335359,0.745465787,0.521506578,1950s
1951,les paul,blue skies,pop,0.991967863,0.635004874,0.847165992,0.604876548,0.462077494,0.284261931,1950s
1951,les paul,dark eyes,pop,0.99297188,0.602512726,0.874493927,0.577237648,0.609439406,0.291269157,1950s
1952,asha bhosle,kotha mukunda,pop,0.984939744,0.379399978,0.572874494,0.542060867,0.433223413,0.28826606,1950s
1952,asha bhosle,awaz deta hai sola ka din,pop,0.996987949,0.499620925,0.000578947,0.673743045,0.703215169,0.240216511,1950s
