country,gdppercapita2012,population2012
Aruba,23800,
Afghanistan,576,31200000
Angola,3750,25100000
Albania,4280,2910000
Andorra,39800,82400
United Arab Emirates,35400,9140000
Argentina,10600,41800000
Armenia,3600,2880000
American Samoa,9850,
Antigua and Barbuda,12900,90400
Australia,53700,22900000
Austria,48200,8500000
Azerbaijan,5730,9260000
Burundi,239,9250000
Belgium,44400,11100000
Benin,1060,9730000
Burkina Faso,692,16600000
Bangladesh,866,151000000
Bulgaria,7080,7330000
Bahrain,20900,1300000
Bahamas,28800,364000
Bosnia and Herzegovina,4770,3600000
Belarus,6480,9420000
Belize,4250,338000
Bermuda,93300,
Bolivia,2090,10400000
Brazil,11700,199000000
Barbados,15800,284000
Brunei,36000,399000
Bhutan,2500,702000
Botswana,6940,2040000
Central African Republic,529,4440000
Canada,48900,34900000
Switzerland,77800,8010000
Chile,14000,17400000
China,5330,1380000000
Cote d'Ivoire,1220,21500000
Cameroon,1330,21500000
"Congo, Dem. Rep.",358,69000000
"Congo, Rep.",3270,4510000
Colombia,6910,46100000
Comoros,1350,724000
Cape Verde,3460,505000
Costa Rica,8800,4690000
Cuba,6050,11300000
Cayman Islands,72200,
Cyprus,28900,1140000
Czech Republic,20100,10600000
Germany,44100,81000000
Djibouti,,868000
Dominica,6870,71000
Denmark,58500,5610000
Dominican Republic,5750,9930000
Algeria,4590,37400000
Ecuador,5120,15500000
Egypt,2640,86400000
Eritrea,,3250000
Spain,29200,47100000
Estonia,16500,1320000
Ethiopia,390,92700000
Finland,46500,5410000
Fiji,3780,865000
France,41300,63600000
Faeroe Islands,,
"Micronesia, Fed. Sts.",2880,105000
Gabon,9260,1750000
Isle of Man,76700,
Great Britain,40000,64500000
Georgia,3750,4060000
Ghana,1540,26000000
Guinea,720,10700000
Gambia,783,1910000
Guinea-Bissau,563,1600000
Equatorial Guinea,18300,1030000
Greece,22400,10800000
Grenada,7150,107000
Greenland,44500,
Guatemala,2950,15300000
Guam,31600,
Guyana,5040,755000
"Hong Kong, China",34100,7050000
Honduras,1980,8640000
Croatia,13700,4300000
Haiti,1210,10300000
Hungary,13400,9860000
Indonesia,3420,248000000
India,1470,1270000000
Ireland,48600,4610000
Iran,6120,75500000
Iraq,5320,31900000
Iceland,44100,326000
Israel,31700,7610000
Italy,35000,59900000
Jamaica,4700,2840000
Jordan,3530,8090000
Japan,45300,128000000
Kazakhstan,9920,16800000
Kenya,1000,44300000
Kyrgyz Republic,905,5620000
Cambodia,874,14800000
Kiribati,1560,106000
St. Kitts and Nevis,15200,49900
South Korea,24200,50100000
Kuwait,40300,3350000
Lao,1290,6440000
Lebanon,7180,5540000
Liberia,565,4140000
Libya,10100,6290000
St. Lucia,8860,177000
Liechtenstein,,36600
Sri Lanka,3290,20500000
Lesotho,1230,2010000
Lithuania,13700,3050000
Luxembourg,102000,531000
Latvia,13000,2070000
"Macao, China",66500,
Morocco,3000,33200000
Monaco,159000,36500
Moldova,2570,4080000
Madagascar,467,22300000
Maldives,7250,397000
Mexico,9690,117000000
Marshall Islands,2750,56700
North Macedonia,4620,2070000
Mali,685,16000000
Malta,22500,422000
Myanmar,1140,51400000
Montenegro,6700,626000
Mongolia,3350,2820000
Northern Mariana Islands,13700,
Mozambique,515,24900000
Mauritania,1650,3710000
Mauritius,8580,1250000
Malawi,483,15400000
Malaysia,9740,29100000
Namibia,5750,2190000
Niger,499,17800000
Nigeria,2370,167000000
Nicaragua,1660,5980000
Netherlands,50800,16800000
Norway,88600,5010000
Nepal,640,27000000
Nauru,5750,10100
New Zealand,34700,4470000
Oman,18200,3500000
Pakistan,1010,187000000
Panama,9540,3770000
Peru,5640,29500000
Philippines,2380,97200000
Palau,11400,17600
Papua New Guinea,1980,7630000
Poland,13400,38200000
Puerto Rico,27000,
Portugal,21300,10500000
Paraguay,4390,6420000
Palestine,2830,4240000
Qatar,67700,2200000
Romania,8620,20200000
Russia,11600,144000000
Rwanda,681,10500000
Saudi Arabia,21000,29200000
Sudan,1830,36200000
Senegal,1270,13400000
Singapore,50100,5370000
Solomon Islands,1660,556000
Sierra Leone,470,6710000
El Salvador,3160,6240000
San Marino,49900,32100
Serbia,5890,8940000
South Sudan,742,10100000
Sao Tome and Principe,1120,188000
Suriname,8770,541000
Slovakia,17500,5410000
Slovenia,23000,2060000
Sweden,53400,9540000
Eswatini,4430,1080000
Seychelles,12000,92600
Turks and Caicos Islands,,
Chad,909,12800000
Togo,574,6770000
Thailand,5440,67800000
Tajikistan,827,7870000
Turkmenistan,5460,5270000
Timor-Leste,873,1130000
Tonga,3850,103000
Trinidad and Tobago,16600,1340000
Tunisia,4150,10800000
Turkey,12100,74700000
Tuvalu,3060,10700
Tanzania,788,47100000
Uganda,873,34600000
Ukraine,3150,45500000
Uruguay,13000,3380000
United States,49600,314000000
Uzbekistan,1810,29400000
St. Vincent and the Grenadines,6340,108000
Venezuela,14700,29400000
Virgin Islands (U.S.),31300,
Vietnam,1440,89800000
Vanuatu,2800,250000
Samoa,3500,189000
Yemen,1130,24500000
South Africa,7500,52800000
Zambia,1590,14500000
Zimbabwe,1220,13100000
Holy See,,786
North Korea,,24800000
Somalia,,12700000
Syria,,20400000
Taiwan,,23300000
