Year,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fishing Footprint,Build up land,Ecological Footprint,Biocapacity
1961,0.146384931,0.08541894,0.137855484,0.321651162,0.030571359,0.008470097,2.27,3.11
1962,0.150851883,0.085739992,0.138345809,0.334040787,0.031810746,0.008872325,2.3,3.07
1963,0.152748474,0.087373047,0.139699041,0.35765236,0.032796743,0.00910741,2.35,3.01
1964,0.156198517,0.086304949,0.144156779,0.379608664,0.032011356,0.009480355,2.39,2.96
1965,0.158445499,0.088200765,0.145522594,0.399296871,0.03435323,0.009769723,2.43,2.91
1966,0.165377298,0.087000914,0.146456941,0.417316364,0.036397479,0.010428805,2.49,2.88
1967,0.168125649,0.088390504,0.148241395,0.428218127,0.038747362,0.010792539,2.5,2.83
1968,0.173426113,0.087942203,0.148992042,0.450936205,0.040900816,0.011267817,2.55,2.79
1969,0.176164926,0.087483989,0.150879863,0.485531388,0.040634052,0.011554711,2.6,2.73
1970,0.180188305,0.086869342,0.153664354,0.53080713,0.041091092,0.012097831,2.7,2.69
1971,0.184625274,0.08831513,0.15472502,0.550654833,0.040073954,0.012683125,2.74,2.65
1972,0.180700954,0.091283386,0.155435188,0.581138984,0.042124527,0.012661831,2.75,2.59
1973,0.189709892,0.089367455,0.159029124,0.613919155,0.042961236,0.013487383,2.85,2.57
1974,0.185562954,0.092288635,0.159865966,0.607642101,0.044404735,0.013464662,2.77,2.51
1975,0.187391551,0.096159807,0.155791831,0.599461037,0.042099006,0.013861225,2.7,2.47
1976,0.194934907,0.095000149,0.160658122,0.632156879,0.042874897,0.014550006,2.77,2.43
1977,0.19608683,0.095502221,0.161219219,0.652605411,0.041432145,0.014913773,2.78,2.39
1978,0.204773525,0.094188565,0.162636794,0.658351304,0.040922386,0.015772953,2.8,2.38
1979,0.203859915,0.096614257,0.166593449,0.686124801,0.041184482,0.015958487,2.82,2.33
1980,0.201720485,0.097979264,0.165480448,0.664635532,0.041851505,0.016010982,2.72,2.29
1981,0.208592821,0.097734555,0.16225858,0.633255295,0.04244456,0.016850433,2.64,2.27
1982,0.217052171,0.096537845,0.159799459,0.612068458,0.042438619,0.017700863,2.58,2.25
1983,0.215866361,0.097384064,0.16602546,0.608746194,0.042511951,0.017846021,2.53,2.21
1984,0.228166259,0.095628442,0.168492636,0.622562445,0.042752854,0.018954735,2.59,2.2
1985,0.23308603,0.093909577,0.167653015,0.630530097,0.043051738,0.019500325,2.58,2.17
1986,0.234646534,0.092792244,0.171793691,0.642747502,0.044895684,0.019893663,2.58,2.14
1987,0.236977449,0.092768042,0.175120049,0.6640706,0.04681929,0.020423229,2.61,2.11
1988,0.231684837,0.093827984,0.178379614,0.698745531,0.048775622,0.020341937,2.62,2.06
1989,0.238909666,0.093533032,0.178645848,0.707482547,0.04799934,0.021342538,2.64,2.05
1990,0.245360246,0.093989398,0.177360839,0.705122692,0.046583901,0.022269156,2.63,2.04
1991,0.241864389,0.096054227,0.170637198,0.718165671,0.046425292,0.022261253,2.58,2
1992,0.240747273,0.095363763,0.165547617,0.714405894,0.046525782,0.022563159,2.56,1.99
1993,0.239791114,0.095044273,0.163536788,0.71829145,0.047203527,0.022806596,2.52,1.96
1994,0.244124832,0.095461579,0.162356659,0.720614043,0.049265961,0.023577171,2.52,1.94
1995,0.242093338,0.095287191,0.166028507,0.745615345,0.051517752,0.0237126,2.53,1.91
1996,0.250873907,0.093219183,0.161891822,0.753185265,0.051889494,0.024908294,2.55,1.91
1997,0.254248547,0.091792719,0.165119342,0.762347723,0.051976411,0.025493963,2.55,1.89
1998,0.25667528,0.091785036,0.162836597,0.759765104,0.051866782,0.026062002,2.52,1.87
1999,0.26002412,0.091506326,0.165304369,0.754058313,0.051930766,0.02668256,2.5,1.85
2000,0.26074364,0.091660935,0.170830602,0.777578573,0.051440416,0.027164082,2.53,1.83
2001,0.264562684,0.09095103,0.16430174,0.786449538,0.051661383,0.027971236,2.52,1.82
2002,0.26385049,0.090934063,0.168155095,0.799114132,0.051694885,0.028319849,2.52,1.8
2003,0.266012568,0.090873911,0.171376449,0.847125816,0.053057849,0.028820809,2.59,1.77
2004,0.277664575,0.089680232,0.171862404,0.885191576,0.054287633,0.030321568,2.68,1.77
2005,0.278097653,0.08939292,0.174528391,0.925593357,0.054044629,0.030634328,2.71,1.75
2006,0.280518167,0.089520079,0.17119613,0.960629991,0.054460808,0.031423047,2.75,1.74
2007,0.283331667,0.089193695,0.172509165,0.99729827,0.053510406,0.032081245,2.8,1.72
2008,0.290869001,0.087689981,0.16228377,0.998300137,0.052260063,0.033306635,2.79,1.72
2009,0.289626905,0.089388206,0.156005102,0.981145762,0.052103956,0.033520455,2.71,1.69
2010,0.294365995,0.086884503,0.165768897,1.04528259,0.051898129,0.034410721,2.82,1.68
2011,0.30048045,0.086531486,0.168456215,1.060798633,0.052018211,0.035224852,2.84,1.66
2012,0.299094229,0.087909126,0.169765616,1.060453634,0.053312599,0.03525366,2.79,1.63
2013,0.308600791,0.08636926,0.169560155,1.061131815,0.054742127,0.036745093,2.81,1.64
2014,0.311702769,0.086247743,0.170221727,1.05031445,0.056952262,0.037523514,2.79,1.63
2015,0.315788018,0.086230728,0.168427029,1.038844956,0.056376282,0.03804237,2.75,1.61
2016,0.317856015,0.085894123,0.171251668,1.029118393,0.05584103,0.038597492,2.71,1.6
2017,0.322610859,0.084762392,0.170576198,1.060212897,0.056550053,0.039469672,2.77,1.6
