Country,Data Quality,SDGi,Life Expectancy,HDI,GDP per cap,Region,Income Group,Population (mil),Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint,Cropland,Grazing land,Forest land,Fishing ground,Built up land.1,Total biocapacity,Ecological Deficit or Reserve,Number of Earths required,Number of Countries required,Income Group R,NER_Kat
Afghanistan,3A,54.2,64.0,0.49,584.0,Middle East/Central Asia,LI,35.5,0.3,0.2,0.1,0.1,0.0,0.0,0.7,0.2,0.2,0.0,0.0,0.0,0.4,-0.3,0.4,1.8,1,a
Albania,3A,70.8,78.0,0.79,4868.0,Other Europe,UM,2.9,0.6,0.2,0.3,0.9,0.0,0.0,2.0,0.4,0.2,0.3,0.1,0.0,1.0,-1.1,1.3,2.1,3,c
Algeria,2A,72.3,76.0,0.76,4820.0,Africa,UM,41.3,0.6,0.2,0.2,1.4,0.0,0.0,2.3,0.2,0.3,0.0,0.0,0.0,0.5,-1.8,1.4,4.6,3,c
Angola,3A,52.6,60.0,0.58,3414.0,Africa,LM,29.8,0.3,0.1,0.1,0.3,0.1,0.0,0.9,0.2,1.0,0.4,0.2,0.0,1.9,0.9,0.6,0.5,2,a
Antigua and Barbuda,2B,,77.0,0.77,13548.0,Central America/Caribbean,HI,0.1,,,,,,,4.3,,,,,,0.8,-3.4,2.7,5.1,4,d
Argentina,3A,73.2,76.0,0.83,10397.0,South America,UM,44.3,0.9,0.7,0.3,1.3,0.1,0.1,3.3,2.6,1.7,0.6,1.6,0.1,6.6,3.3,2.1,0.5,3,d
Armenia,3A,69.9,75.0,0.76,4219.0,Middle East/Central Asia,LM,2.9,0.4,0.2,0.3,0.9,0.0,0.0,1.8,0.2,0.3,0.1,0.0,0.0,0.6,-1.2,1.1,2.8,2,c
Aruba,2B,,76.0,0.0,24509.0,Central America/Caribbean,HI,0.1,,,,,,,6.6,,,,,,0.6,-6.1,4.2,11.8,4,d
Australia,3A,74.9,83.0,0.94,55926.0,Asia-Pacific,HI,24.5,1.4,0.3,1.0,4.5,0.1,0.1,7.3,2.7,4.9,1.9,3.0,0.1,12.6,5.4,4.6,0.6,4,d
Austria,3A,80.7,82.0,0.91,49129.0,EU-28,HI,8.7,0.7,0.3,0.8,4.0,0.1,0.1,6.0,0.5,0.1,1.9,0.0,0.1,2.7,-3.3,3.8,2.2,4,d
Azerbaijan,3A,72.6,73.0,0.75,5805.0,Middle East/Central Asia,UM,9.8,0.5,0.2,0.1,1.1,0.0,0.0,2.0,0.4,0.2,0.1,0.0,0.0,0.7,-1.2,1.2,2.7,3,c
Bahamas,3A,,74.0,0.8,26539.0,Central America/Caribbean,HI,0.4,0.4,0.3,0.2,2.6,0.1,0.0,3.6,0.0,0.0,1.1,7.9,0.0,9.1,5.4,2.3,0.4,4,d
Bahrain,3A,68.8,77.0,0.84,22112.0,Middle East/Central Asia,HI,1.5,0.5,0.3,0.2,7.5,0.1,0.1,8.7,0.0,0.0,0.0,0.4,0.1,0.5,-8.2,5.4,17.9,4,d
Bangladesh,3A,63.5,72.0,0.61,1093.0,Asia-Pacific,LI,164.7,0.3,0.0,0.1,0.3,0.0,0.1,0.8,0.3,0.0,0.0,0.1,0.1,0.4,-0.4,0.5,2.1,1,a
Barbados,3A,68.3,79.0,0.81,16642.0,Central America/Caribbean,HI,0.3,0.5,0.3,0.1,2.5,0.3,0.0,3.7,0.1,0.0,0.0,0.0,0.0,0.2,-3.6,2.3,22.3,4,d
Belarus,3A,78.8,74.0,0.82,6522.0,Other Europe,UM,9.5,0.9,0.1,1.0,2.0,0.1,0.1,4.2,1.1,0.3,1.7,0.0,0.1,3.1,-1.1,2.6,1.4,3,d
Belgium,3A,80.0,81.0,0.92,46079.0,EU-28,HI,11.4,1.0,0.4,0.5,4.4,0.1,0.2,6.6,0.3,0.0,0.3,0.0,0.2,0.8,-5.8,4.1,8.1,4,d
